Job Title,Required Skills,Location,Salary,Company,Address
Network Engineer,"html, flask",Bhaktapur,"NPR 65,938/month",ThamelRemit,"Suryabinayak, Bhaktapur"
DevOps Engineer,"spring boot, sql, computer vision, php, git, mongodb",Bhimdatta,"NPR 71,104/month",Logpoint Nepal,"Main Road, Bhimdatta"
Backend Developer,"scrum, pytorch, git, html, agile, php",Tulsipur,"NPR 71,314/month",ThamelRemit,"Main Road, Tulsipur"
Data Scientist,"git, agile, postgresql, machine learning, javascript",Pokhara,"NPR 105,858/month",F1Soft International,"Prithvi Chowk, Pokhara"
Business Analyst,"android, java",Kathmandu,"NPR 110,221/month",F1Soft International,"Koteshwor, Kathmandu"
Digital Marketing Executive,"c#, machine learning, react, data visualization, woocommerce, git",Butwal,"NPR 61,963/month",Foodmandu,"Main Road, Butwal"
SEO Specialist,"spring boot, php, mongodb, react native, machine learning",Nepalgunj,"NPR 109,980/month",YoungInnovations,"Main Road, Nepalgunj"
Digital Marketing Executive,"photoshop, c++, postgresql, pytorch",Birendranagar,"NPR 55,813/month",Himalayan Bank,"Main Road, Birendranagar"
Data Scientist,"tensorflow, typescript, node.js, shopify",Birgunj,"NPR 76,292/month",Nabil Bank,"Main Road, Birgunj"
Backend Developer,"angular, scrum, mongodb",Kirtipur,"NPR 90,205/month",Nabil Bank,"Main Road, Kirtipur"
Graphic Designer,"go, scrum, linux, seo",Janakpur,"NPR 59,858/month",F1Soft International,"Main Road, Janakpur"
Cybersecurity Analyst,"flask, kotlin, angular, machine learning, c++",Itahari,"NPR 51,853/month",F1Soft International,"Main Road, Itahari"
Backend Developer,"c#, kubernetes, python, java",Hetauda,"NPR 119,526/month",ThamelRemit,"Main Road, Hetauda"
AI Researcher,"woocommerce, flutter, mongodb, css, data visualization, wordpress",Dharan,"NPR 85,382/month",CloudFactory Nepal,"Main Road, Dharan"
Full Stack Developer,"ruby, kotlin, wordpress, tableau, go",Bhaktapur,"NPR 79,692/month",IME Pay,"Changunarayan, Bhaktapur"
UX Designer,"sql, typescript",Lekhnath,"NPR 72,095/month",Laxmi Bank,"Main Road, Lekhnath"
iOS Developer,"rest api, aws, android, react native, shopify",Biratnagar,"NPR 105,056/month",IME Pay,"Kanepokhari, Biratnagar"
Scrum Master,"laravel, seo, html, nlp",Lalitpur,"NPR 117,679/month",NIC Asia Bank,"Satdobato, Lalitpur"
Cybersecurity Analyst,"excel, go, git, javascript, machine learning, computer vision",Bhaktapur,"NPR 51,248/month",Logpoint Nepal,"Suryabinayak, Bhaktapur"
Data Scientist,"react, figma, tableau, php",Janakpur,"NPR 78,774/month",Logpoint Nepal,"Main Road, Janakpur"
iOS Developer,"rust, adobe xd",Dharan,"NPR 64,442/month",Leapfrog Technology,"Main Road, Dharan"
React Native Developer,"ruby, node.js, excel",Birgunj,"NPR 53,999/month",Cotiviti Nepal,"Main Road, Birgunj"
Backend Developer,"data analysis, power bi, figma, kotlin",Janakpur,"NPR 87,486/month",Daraz Nepal,"Main Road, Janakpur"
Backend Developer,"php, nlp, photoshop",Nepalgunj,"NPR 61,497/month",YoungInnovations,"Main Road, Nepalgunj"
AI Researcher,"power bi, postgresql, rest api",Tulsipur,"NPR 85,869/month",CloudFactory Nepal,"Main Road, Tulsipur"
Business Analyst,"shopify, figma, c++",Lalitpur,"NPR 112,255/month",Mantra Ideas,"Kumaripati, Lalitpur"
Technical Writer,"power bi, scrum, flutter, seo, kotlin, computer vision",Birendranagar,"NPR 74,665/month",Foodmandu,"Main Road, Birendranagar"
QA Engineer,"ruby, postgresql",Itahari,"NPR 69,219/month",Fusemachines Nepal,"Main Road, Itahari"
Product Manager,"ios, vue.js, excel",Tulsipur,"NPR 93,420/month",Laxmi Bank,"Main Road, Tulsipur"
Project Manager,"agile, django, vue.js, java, kubernetes, flutter",Kirtipur,"NPR 88,671/month",Verisk Nepal,"Main Road, Kirtipur"
Mobile App Developer,"data visualization, android, django",Birendranagar,"NPR 86,326/month",IME Pay,"Main Road, Birendranagar"
Machine Learning Engineer,"flutter, c++, angular, excel, photoshop, data visualization",Dharan,"NPR 52,657/month",Fusemachines Nepal,"Main Road, Dharan"
Scrum Master,"angular, php, tensorflow, java",Lalitpur,"NPR 71,536/month",CloudFactory Nepal,"Pulchowk, Lalitpur"
Database Administrator,"node.js, seo",Itahari,"NPR 61,976/month",Verisk Nepal,"Main Road, Itahari"
Frontend Developer,"react, adobe xd, spring boot, flutter, ios",Lalitpur,"NPR 115,105/month",Cotiviti Nepal,"Pulchowk, Lalitpur"
iOS Developer,"typescript, html, sql, css, flask",Kirtipur,"NPR 101,417/month",Verisk Nepal,"Main Road, Kirtipur"
Business Analyst,"c++, php, javascript, data visualization, rest api, c#",Kathmandu,"NPR 60,952/month",Verisk Nepal,"New Baneshwor, Kathmandu"
Systems Analyst,"kotlin, html",Bhimdatta,"NPR 50,154/month",Daraz Nepal,"Main Road, Bhimdatta"
Machine Learning Engineer,"kubernetes, flutter, adobe xd",Biratnagar,"NPR 69,112/month",Daraz Nepal,"Rangeli, Biratnagar"
Product Manager,"shopify, javascript, excel",Kalaiya,"NPR 93,727/month",Leapfrog Technology,"Main Road, Kalaiya"
Content Writer,"pytorch, computer vision, ios, power bi, data analysis, flask",Bhimdatta,"NPR 109,799/month",ThamelRemit,"Main Road, Bhimdatta"
Mobile App Developer,"java, kotlin",Janakpur,"NPR 117,600/month",Janaki Tech,"Main Road, Janakpur"
Product Manager,"c#, power bi, react, aws, excel",Nepalgunj,"NPR 157,130/month",F1Soft International,"Main Road, Nepalgunj"
Product Manager,"linux, php, excel, scrum",Hetauda,"NPR 84,820/month",Mantra Ideas,"Main Road, Hetauda"
Android Developer,"angular, sql, scrum, adobe xd, android, vue.js",Janakpur,"NPR 92,723/month",NIC Asia Bank,"Main Road, Janakpur"
Systems Analyst,"shopify, django, pytorch",Nepalgunj,"NPR 107,970/month",Citizen Bank,"Main Road, Nepalgunj"
Graphic Designer,"rest api, django, java, wordpress, c#, angular",Lekhnath,"NPR 66,360/month",Fusemachines Nepal,"Main Road, Lekhnath"
SEO Specialist,"rest api, swift",Pokhara,"NPR 86,542/month",Deerwalk Inc.,"Chipledhunga, Pokhara"
Scrum Master,"data visualization, photoshop, react native, illustrator, java, react",Kathmandu,"NPR 78,851/month",Sastodeal,"Patan, Kathmandu"
Web Developer,"css, photoshop",Bhaktapur,"NPR 54,381/month",Foodmandu,"Suryabinayak, Bhaktapur"
